Date,CL=F,COP,CVX,LMT,NOC,RTX,XOM
2026-03-27,99.63999938964844,132.81297302246094,209.23358154296875,611.8346557617188,676.0247192382812,188.9230499267578,169.8372344970703
2026-03-30,102.87999725341797,131.90968322753906,208.79759216308594,594.6769409179688,668.647216796875,186.3736572265625,170.31399536132812
2026-03-31,101.37999725341797,131.02626037597656,205.02215576171875,600.4591064453125,679.25048828125,192.0998077392578,168.51620483398438
2026-04-01,100.12000274658203,127.43296813964844,195.61830139160156,613.6229248046875,693.94580078125,193.91226196289062,159.69607543945312
2026-04-02,111.54000091552734,129.5571746826172,197.1641387939453,618.7393798828125,699.4216918945312,195.39608764648438,159.60667419433594
2026-04-06,112.41000366210938,130.66891479492188,197.0551300048828,633.7511596679688,692.7410888671875,197.5869598388672,162.2686004638672
2026-04-07,112.94999694824219,130.79795837402344,199.71080017089844,623.6174926757812,687.4743041992188,197.09898376464844,162.8049774169922
2026-04-08,94.41000366210938,124.29627227783203,191.13931274414062,624.4122924804688,684.45751953125,202.63592529296875,155.16680908203125
2026-04-09,97.87000274658203,122.5591812133789,188.6322784423828,619.8123779296875,687.5440063476562,202.34713745117188,153.99476623535156
2026-04-10,96.56999969482422,121.6459732055664,186.83871459960938,609.7283935546875,670.7777709960938,200.72389221191406,151.4818115234375
2026-04-13,99.08000183105469,122.70807647705078,190.03939819335938,615.6595458984375,678.3245849609375,200.57452392578125,151.61094665527344
2026-04-14,91.27999877929688,117.91370391845703,185.32260131835938,607.6023559570312,677.1497192382812,201.9687042236328,148.23387145996094
2026-04-15,91.29000091552734,118.04273986816406,183.23175048828125,607.1254272460938,675.6165161132812,197.56704711914062,148.0054168701172
2026-04-16,94.69000244140625,120.6731948852539,186.4423370361328,603.5389404296875,669.822021484375,195.03758239746094,150.9553985595703
2026-04-17,83.8499984741211,115.18399047851562,182.32009887695312,588.3384399414062,662.3449096679688,195.60520935058594,145.45274353027344
2026-04-20,89.61000061035156,115.5909652709961,181.58680725097656,577.4993896484375,654.1011352539062,194.97781372070312,146.6843719482422
2026-04-21,92.12999725341797,119.37286376953125,184.2920379638672,568.2301025390625,608.4520874023438,186.39358520507812,147.35980224609375
2026-04-22,92.95999908447266,121.69559478759766,184.6289520263672,551.8175048828125,587.0363159179688,180.15956115722656,148.4921112060547
2026-04-23,95.8499984741211,123.45254516601562,185.8973388671875,526.34423828125,585.0848999023438,178.5562286376953,149.51516723632812
2026-04-24,94.4000015258789,120.8617935180664,183.52902221679688,510.1105651855469,572.5899047851562,173.53712463378906,147.90609741210938
2026-04-27,96.37000274658203,120.78238677978516,183.10292053222656,510.01116943359375,572.7592163085938,172.66079711914062,147.19094848632812
2026-04-28,99.93000030517578,123.40290832519531,186.6504364013672,508.95806884765625,575.2880859375,174.95123291015625,149.5449676513672
2026-04-29,106.87999725341797,127.30391693115234,190.47540283203125,506.4942321777344,569.9017333984375,172.07322692871094,153.62725830078125
2026-04-30,105.06999969482422,124.85214233398438,191.55551147460938,514.6011352539062,576.9407348632812,175.33963012695312,153.28955078125
2026-05-01,101.94000244140625,122.28125,188.89984130859375,509.43499755859375,565.6505126953125,173.2682647705078,151.72019958496094
2026-05-04,106.41999816894531,123.98856353759766,190.53485107421875,514.780029296875,564.5154418945312,172.18276977539062,152.65386962890625
2026-05-05,102.2699966430664,122.41028594970703,190.89158630371094,505.61993408203125,556.1522216796875,172.15289306640625,153.83584594726562
2026-05-06,95.08000183105469,118.02289581298828,183.47947692871094,510.915283203125,557.1478881835938,176.00685119628906,147.6875762939453
2026-05-07,94.80999755859375,114.03254699707031,180.84361267089844,509.0773010253906,549.8500366210938,176.0466766357422,145.591796875
2026-05-08,95.41999816894531,113.02999877929688,179.9716033935547,503.2156982421875,547.112060546875,175.3595428466797,143.59535217285156
2026-05-11,98.06999969482422,115.55000305175781,183.06329345703125,508.9183654785156,545.8078002929688,177.8690948486328,148.6708984375
