Date,XOM,CVX,COP,LMT,RTX,NOC,WTI_Crude
1990-09-21,3.912911891937256,5.111736297607422,3.4173357486724854,3.044969320297241,1.6616865396499634,3.086914539337158,36.21
1990-09-24,3.8556466102600098,5.0953264236450195,3.4173357486724854,3.0598244667053223,1.6033012866973877,3.039055109024048,39.05
1990-09-25,3.8556466102600098,5.062504768371582,3.3137831687927246,3.0598244667053223,1.6257569789886475,3.039055109024048,38.33
1990-09-26,3.8079288005828857,4.988663196563721,3.225019693374634,3.0895309448242188,1.5763555765151978,3.0151238441467285,39.12
1990-09-27,3.798387050628662,4.881996154785156,3.077082872390747,3.0301153659820557,1.5089913606643677,3.039055109024048,39.77
1990-09-28,3.741124153137207,4.857379913330078,3.0474956035614014,3.1043860912323,1.5359359979629517,2.9672651290893555,39.53
1990-10-01,3.78884220123291,4.832769393920898,3.0622904300689697,3.0301153659820557,1.589828372001648,3.134772539138794,37.08
1990-10-02,3.7792983055114746,4.8081488609313965,3.1066699028015137,3.0895309448242188,1.5763555765151978,3.182630777359009,34.43
1990-10-03,3.78884220123291,4.816356182098389,3.165844678878784,3.119239568710327,1.5808460712432861,3.1586997509002686,37.04
1990-10-04,3.8461031913757324,4.857379913330078,3.2102253437042236,3.148944854736328,1.6122835874557495,3.23048996925354,36.76
1990-10-05,3.8079288005828857,4.857379913330078,3.1362578868865967,3.312333345413208,1.6706677675247192,3.182630777359009,37.87
1990-10-08,3.8461031913757324,4.832769393920898,3.1362578868865967,3.32718825340271,1.6841408014297485,3.23048996925354,38.88
1990-10-09,3.798387050628662,4.7425103187561035,3.165844678878784,3.312333345413208,1.6347389221191406,3.134772539138794,40.73
1990-10-10,3.7220358848571777,4.644048690795898,3.0918776988983154,3.178652048110962,1.5808460712432861,3.0629827976226807,39.3
1990-10-11,3.67431902885437,4.594818115234375,2.973527193069458,3.0152626037597656,1.531444787979126,3.039055109024048,41.07
1990-10-12,3.7029473781585693,4.545591354370117,2.9291462898254395,3.119239568710327,1.5988103151321411,3.039055109024048,39.42
1990-10-15,3.7602145671844482,4.5619988441467285,2.9883203506469727,3.0152626037597656,1.6527043581008911,2.9433352947235107,38.0
1990-10-16,3.712491989135742,4.504561901092529,2.973527193069458,2.970703601837158,1.6257569789886475,2.871547222137451,39.34
1990-10-17,3.7029473781585693,4.5619988441467285,3.017909049987793,2.9409964084625244,1.6751588582992554,2.8954758644104004,36.03
1990-10-18,3.7029473781585693,4.537384986877441,2.9439399242401123,2.970703601837158,1.7425241470336914,3.0151238441467285,37.03
1990-10-19,3.8079288005828857,4.644048690795898,3.077082872390747,3.044969320297241,1.73354172706604,3.110842704772949,33.82
1990-10-22,3.78884220123291,4.611229419708252,3.017909049987793,3.238065481185913,1.7245595455169678,3.086914539337158,28.46
1990-10-23,3.7029473781585693,4.578410625457764,3.0474956035614014,3.208359479904175,1.7110868692398071,3.039055109024048,29.95
1990-10-24,3.7029473781585693,4.553792953491211,3.0622904300689697,3.163799285888672,1.7110868692398071,2.991194486618042,30.8
1990-10-25,3.645686626434326,4.512767791748047,3.077082872390747,3.074678659439087,1.7021042108535767,2.9672651290893555,34.35
1990-10-26,3.6075124740600586,4.397898197174072,3.0622904300689697,3.0895309448242188,1.6527043581008911,2.9433352947235107,33.03
1990-10-29,3.636143445968628,4.406100273132324,3.0658786296844482,3.163799285888672,1.6347389221191406,2.8954758644104004,35.28
1990-10-30,3.731581449508667,4.48815393447876,3.035966634750366,3.223212957382202,1.6527043581008911,2.8954758644104004,34.93
1990-10-31,3.741124153137207,4.471742630004883,3.035966634750366,3.163799285888672,1.621265172958374,2.84761643409729,35.31
1990-11-01,3.798387050628662,4.545591354370117,3.0808346271514893,3.223212957382202,1.5853376388549805,2.8954758644104004,35.3
1990-11-02,3.78884220123291,4.578410625457764,3.170565366744995,3.32718825340271,1.5853376388549805,2.871547222137451,33.95
1990-11-05,3.792325735092163,4.611229419708252,3.185523271560669,3.312333345413208,1.5988103151321411,2.7997586727142334,32.05
1990-11-06,3.8116753101348877,4.571405410766602,3.110745668411255,3.475724697113037,1.6077935695648193,2.823688507080078,32.41
